"id","doi","title","year_published","volume","abstract","authors_keywords","document_type","publication_type","language","reprint_address","issn","eissn","source_abbreviation_29_character","iso_source_abbreviation","publication_date","issue","beginning_page","ending_page","page_count","web_of_science_categories","research_areas","document_delivery_number","accession_number","keyword_plus","open_access_indicator","pudmed_id","special_issue","book_series_title","meeting_abstract","editors","funding_agency_grant_number","id_conference","id_journal"
"ROGERS A, 2017, INT REV EDUC, V63, P137, DOI 10.1007/S11159-016-9600-7","10.1007/S11159-016-9600-7","GLOBAL MEDIA LITERACY IN A DIGITAL AGE: TEACHING BEYOND BORDERS",2017,"63",NA,NA,"BOOK REVIEW","J","ENGLISH","ROGERS, A (REPRINT AUTHOR), UNIV EAST ANGLIA, NORWICH NR4 7TJ, NORFOLK, ENGLAND.","0020-8566","1573-0638","INT REV EDUC","INT. REV. EDUC.","FEB","1","137","139","3","EDUCATION & EDUCATIONAL RESEARCH","EDUCATION & EDUCATIONAL RESEARCH","EP2WH","ISI000397243800012",NA,NA,NA,"SI",NA,NA,NA,NA,NA,"INTERNATIONAL REVIEW OF EDUCATION"
"DUURSMA E, 2017, J CHILD FAM STUD, V26, P612, DOI 10.1007/S10826-016-0584-5","10.1007/S10826-016-0584-5","THE IMPACT OF HOME LITERACY AND FAMILY FACTORS ON SCREEN MEDIA USE AMONG DUTCH PRETEENS",2017,"26","THIS STUDY EXAMINED PRETEENS' SCREEN MEDIA USE AND POTENTIAL DIFFERENCES IN MEDIA USE BY CHILD AND FAMILY DEMOGRAPHICS AMONG 1464 DUTCH PRETEENS. THE RESULTS DEMONSTRATED THAT WATCHING TV IS STILL A VERY POPULAR ACTIVITY AMONG CHILDREN. HOWEVER, OTHER ELECTRONIC MEDIA ARE ALSO POPULAR WITHIN THIS AGE GROUP AS 72 % OF PRETEENS HAD A CELLPHONE. CHILDREN WHO SPOKE A LANGUAGE OTHER THAN DUTCH AND WHOSE PARENTS WERE BORN ABROAD WERE HEAVIER MEDIA USERS. CHILDREN WITH MORE BOOKS IN THE HOME AND WHO READ MORE FREQUENTLY TENDED TO BE LIGHTER MEDIA USERS. BOYS SPENT MORE TIME ON SCREEN MEDIA THAN GIRLS AND WERE MORE LIKELY TO PLAY VIDEOGAMES WHILE GIRLS PREFERRED USING SOCIAL MEDIA. THIS STUDY DEMONSTRATED THAT CHILD AND HOME CHARACTERISTICS PLAY A SIGNIFICANT ROLE IN CHILDREN'S ENGAGEMENT WITH SCREEN MEDIA AND LITERACY.","SCREEN MEDIA USE; PRETEENS; BOOKS IN THE HOME; READING FREQUENCY; TV;   VIEWING; VIDEOGAMES; LANGUAGE SPOKEN AT HOME; FAMILIES; SOCIAL MEDIA;;   COMPUTERS; INTERNET; TABLET","ARTICLE","J","ENGLISH","DUURSMA, E (REPRINT AUTHOR), UNIV WOLLONGONG, WOLLONGONG, NSW 2522, AUSTRALIA.","1062-1024","1573-2843","J CHILD FAM STUD","J. CHILD FAM. STUD.","FEB","2","612","622","11","FAMILY STUDIES; PSYCHOLOGY, DEVELOPMENTAL; PSYCHIATRY","FAMILY STUDIES; PSYCHOLOGY; PSYCHIATRY","EK1TR","ISI000393709200024","CHILDRENS; ADOLESCENTS; TIME; CHILDHOOD; BEHAVIOR",NA,NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF CHILD AND FAMILY STUDIES"
"DANOV D, 2017, CHUZHDOEZIKOVO OBUC, V44, P42",NA,"DIGITALIZATION AND SOCIAL TRANSFORMATIONS: DEVELOPMENT OF MEDIA PEDAGOGY AND MEDIA LITERACY",2017,"44","THE ARTICLE FOCUSES UPON THE NEED OF MEDIA PEDAGOGY DEVELOPMENT, A CRUCIAL ELEMENT OF THE OVERALL PEDAGOGIC EDUCATION, YET HARDLY GIVEN DUE ATTENTION IN BULGARIA. INTRODUCING THE ESSENCE OF THIS MODERN SCHOLARLY FIELD, THE TEXT ZOOMS INTO MEDIA PEDAGOGY AND MEDIA LITERACY, BOTH BEING DIRECT CONSEQUENCES OF MEDIA DIGITIZATION AND ITS SUBSEQUENT SOCIAL TRANSFORMATIONS IN CONTEMPORARY SOCIETY.","PEDAGOGY; MEDIA PEDAGOGY; MEDIA LITERACY; DIGITIZATION; DIGITALIZATION","ARTICLE","J","RUSSIAN","DANOV, D (REPRINT AUTHOR), SOFIA UNIV, PRESCH & MEDIA PEDAG DEPT, FAC PRESCH & PRIMARY SCH EDUC, SOFIA, BULGARIA.","0205-1834","1314-8508","CHUZHDOEZIKOVO OBUC","CHUZHDOEZIKOVO OBUC.",NA,"1","42","52","11","LANGUAGE & LINGUISTICS","LINGUISTICS","FV4XF","ISI000424579500005",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHUZHDOEZIKOVO OBUCHENIE-FOREIGN LANGUAGE TEACHING"
"OSMANCEVIC L, 2017, MEDIJSKE STUD, V8, P122",NA,"PUBLIC POLICIES IN MEDIA AND INFORMATION LITERACY IN EUROPE: CROSS-COUNTRY COMPARISONS",2017,"8",NA,NA,"BOOK REVIEW","J","CROATIAN",NA,"1847-9758","1848-5030","MEDIJSKE STUD","MEDIJSKE STUD.",NA,"16","122","123","2","COMMUNICATION","COMMUNICATION","FU6QD","ISI000423976200008",NA,"GOLD",NA,NA,NA,NA,NA,NA,NA,"MEDIJSKE STUDIJE-MEDIA STUDIES"
"FIIALKA S, 2017, MEDIAOBRAZOVANIE, P7",NA,"TECHNICAL UNIVERSITY STUDENTS'MEDIA LITERACY IN SOCIAL NETWORKS",2017,NA,"HIGHER EDUCATION HAS PROFOUNDLY TRANSFORMED DUE TO THE DEVELOPMENT OF SOCIAL NETWORKS SUCH AS FACEBOOK, YOUTUBE AND TWITTER. STUDENTS ALL OVER THE WORLD USE SOCIAL NETWORKS FOR COMMUNICATIONSAND GETTING NEWS. THE STUDY WAS CONDUCTED IN NATIONAL TECHNICAL UNIVERSITY OF UKRAINE ""IGOR SIKORSKY KYIV POLYTECHNIC INSTITUTE"" (KYIV, UKRAINE). QUANTITATIVE ANALYSIS OF 10 CLOSED ENDED RESPONSES, QUALITATIVE ANALYSIS OF 5 OPEN ENDED RESPONSES AND FOCUS GROUP DISCUSSION EXPERTS WERE DONE. THE STUDY POPULATION INCLUDED STUDENTS (N=1100) OF THE FOURTH COURSE AND 10 EXPERTS (PROFESSORS IN THE FIELDS OF ENGINEERING (5 PERSONS), PEDAGOGICS (2 PERSONS) AND SOCIAL COMMUNICATIONS (3 PERSONS)). THE SURVEY QUESTIONNAIRE CAPTURED THE ATTITUDES OF STUDENTS ABOUT THE SOCIAL NETWORKS AND THEIR ROLE IN EVERYDAY LIFE AND PROFESSIONAL DEVELOPMENT, FOUND OUT WHAT PERCENTAGE OF STUDENTS USES SOCIAL NETWORKS FOR EDUCATIONAL PURPOSES, REVEALEDWHETHER THE STUDENTS TRUST TO INFORMATION FROM POSTS IN SOCIAL NETWORKS, AS WELL AS THEIR REACTIONS TO MESSAGES. THE QUALITATIVE ANALYSIS FOUND OUT THE REASONS WHY STUDENTS USE OR DO NOT USE SOCIAL NETWORKS FOR THEIR EDUCATIONAL PURPOSES, WHY ARE THEY JOINING OR ARE NOT JOINING SOCIAL NETWORKING GROUPS THAT DISCUSS POLITICAL TOPICS, WHY DO THEY REACT OR DO NOT REACT ON INSULTS IN SOCIAL NETWORKS, WHY DO THEY ALWAYS (DO NOT ALWAYS) CRITICALLY ANALYZE INFORMATION IN SOCIAL MEDIA, WHY DO THEY THINK IT IS NECESSARY (NOT NECESSARY) TO IMPLEMENT MEDIA LITERACY COURSES IN THE UNIVERSITY. THE FOCUS GROUP DISCUSSION REVEALED HOW SOCIAL NETWORKS HAVE INFLUENCED EDUCATION, FACTORS IMPACTING SOCIAL NETWORKS USE FOR EDUCATION, HOW THE EXPERTS FORESEE THE ROLE OF SOCIAL NETWORKS IN EDUCATION AND COLLECTED OPINIONS ABOUT THE MEDIA LITERACY AS A PART OF ENGINEERING CURRICULUM. OVERALL THE OBSERVATIONS FOUND OUTWEAK SPOTS IN STUDENTS' MEDIA LITERACY. THUS, IT IS NECESSARY TO IMPLEMENT MEDIA EDUCATION IN TECHNICAL UNIVERSITIES TO TEACH STUDENTSTO BECOME MEDIA ""LITERATE"" IN ORDER TO PARTICIPATE RESPONSIBLY IN THE NEW CENTURY SOCIETY, ANALYZE MEDIA INFORMATION CRITICALLY AND RECOGNIZE MISINFORMATION.","MEDIA LITERACY; SOCIAL NETWORK; MESSAGE; PROFESSIONAL DEVELOPMENT","ARTICLE","J","ENGLISH","FIIALKA, S (REPRINT AUTHOR), NATL TECH UNIV UKRAINE, IGOR SIKORSKY KYIV POLYTECH INST, 37 PROSPECT PEREMOGY, UA-03056 KIEV, UKRAINE.","1994-4160","1994-4195","MEDIAOBRAZOVANIE","MEDIAOBRAZOVANIE",NA,"4","7","13","7","COMMUNICATION","COMMUNICATION","FU5NF","ISI000423899500001",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDIAOBRAZOVANIE-MEDIA EDUCATION"
"GALAKTIONOVA T, 2017, MEDIAOBRAZOVANIE, P47",NA,"EDUCATIONAL AND ENTERTAINMENT SPACE ONLINE COMMUNITIES AS A RESOURCE FOR THE DEVELOPMENT OF MEDIA LITERACY MODERN STUDENTS",2017,NA,"THE ARTICLE PRESENTS AN ATTEMPT TO ANALYZE THE EDUCATIONAL AND ENTERTAINMENT SPACE ONLINE COMMUNITIES TO DETERMINE THE IMPACT OF THESE INTERACTIVE RESOURCES ON THE FORMATION AND DEVELOPMENT OF MEDIA LITERACY AMONG MODERN STUDENTS. TO IMPLEMENT THE OBJECTIVES OF THE STUDY THE AUTHORS USED THEORETICAL METHODS, INCLUDING ANALYSIS OF SCIENTIFIC LITERATURE, DISSERTATION RESEARCH, ETC., AS WELL AS EMPIRICAL METHODS - QUESTIONNAIRE STUDENTS - PARTICIPANTS IN THE EDUCATIONAL ENTERTAINMENT SPACE ONLINE COMMUNITIES ARE AGE PECULIARITIES OF ADOLESCENTS. EXPERIMENTAL BASE OF THE SCIENTIFIC WORK WAS FORMED BY THE ALL-RUSSIAN PROJECT ""TERRITORY OF CREATIVITY. FAN FICTION - WRITING FOR THOSE, WHO DO NOT WANT TO PART WITH THE LITERARY HEROES"", IMPLEMENTED IN 2016-2017 YEARS. THE STUDY USED THE SYSTEMIC-ACTIVITY APPROACH AS ONE OF THE KEY PRINCIPLES IN DETERMINING THE OBJECTIVES, CONTENT AND ORGANIZATION OF PRIMARY SCHOOL EDUCATION, ALLOWING TO CONSIDER THE QUESTION OF FORMATION AND DEVELOPMENT OF MEDIA LITERACY MODERN STUDENTS THROUGH EDUCATIONAL AND ENTERTAINMENT SPACE ONLINE COMMUNITIES, AS WELL AS CULTUROLOGICAL APPROACH, CONSIDERING MODERN EDUCATIONAL PROCESS IN THE LOGIC OF ITS RELATIONSHIP WITH POST-INDUSTRIAL CULTURE OF THE INFORMATION SOCIETY OF THE XXI CENTURY. THE ARTICLE PRESENTS THE RESULTS OF THE PEDAGOGICAL EXPERIMENT ON CREATION OF VIRTUAL EDUCATIONAL ENVIRONMENT WITH THE GOAL OF FORMING OF MEDIA LITERACY OF MODERN STUDENTS ON THE BASIS OF NEW PRACTICES OF READING AND CREATIVE WRITING REVEALS THE CONCEPTS OF FANDOM, FAN FICTION, MEDIA LITERACY AS A PEDAGOGICAL PHENOMENON OF MODERN SCIENCE IDENTIFIED ORGANIZATIONAL AND PEDAGOGICAL CONDITIONS OF USE OF EDUCATIONAL SPACE OF ONLINE COMMUNITIES AS A RESOURCE FOR THE DEVELOPMENT OF MEDIA LITERACY MODERN STUDENTS IT JUSTIFIES THE USE OF AN EDUCATIONAL COMMUNITY IN THE EDUCATIONAL PROCESS OF MODERN SCHOOL.","FANDOM; FAN FICTION; MEDIA LITERACY; EDUCATIONAL PROCESS; READING;;   CREATIVE WRITING; SCHOOL CHILDREN; MEDIA COMPETENCE; EDUCATIONAL AND;   ENTERTAINMENT COMMUNITY","ARTICLE","J","RUSSIAN","GALAKTIONOVA, T (REPRINT AUTHOR), ST PETERSBURG UNIV, DEPT CONTINUOUS PHILOL EDUC & EDUC MANAGEMENT, UNIV SKAYA EMBANKMENT 11, ST PETERSBURG 199034, RUSSIA.","1994-4160","1994-4195","MEDIAOBRAZOVANIE","MEDIAOBRAZOVANIE",NA,"4","47","61","15","COMMUNICATION","COMMUNICATION","FU5NF","ISI000423899500005",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDIAOBRAZOVANIE-MEDIA EDUCATION"
"TEPLYASHINA AN, 2017, MEDIAOBRAZOVANIE, P62",NA,"UNIVERSITY FOR HIGH SCHOOL STUDENTS: MEDIA LITERACY AS A PATH TO CREATIVITY",2017,NA,"THE PAPER PROVIDES AN OVERVIEW OF EDUCATIONAL TECHNOLOGIES THAT CONTRIBUTE TO THE DEVELOPMENT OF CREATIVE ABILITIES OF YOUNG JOURNALISTS. THE EFFECTIVENESS OF METHODS IS EVALUATED ON THE DATA COLLECTED AT THE COURSES FOR PROSPECTIVE APPLICANTS (THE SO-CALLED ""YOUNG JOURNALISM"") TO THE SCHOOL OF JOURNALISM AND MASS COMMUNICATIONS. THE EFFECTIVENESS OF EDUCATIONAL TECHNOLOGIES IS DETERMINED THROUGH THE ACHIEVEMENTS OF HIGH SCHOOL STUDENTS SHOWN AT THE FINAL CREATIVE TEST AND THEIR OPINIONS COLLECTED FROM ANONYMOUS INTERVIEWS IN GOOGLE. DOCS UPON THE COMPLETION OF THE COURSE. THE PROFESSION OF THE JOURNALIST HAS RECEIVED A NEW MEANING WITHIN MODERN MEDIA SPACE. ON THE ONE HAND, COMMERCIALIZATION OF THE PROFESSION HAS INCREASED. ON THE OTHER HAND, NEW TECHNOLOGIES ARE BEING INTRODUCED INTO MEDIA PRODUCTION. MEDIA LITERACY OF THE AUDIENCE IS INCREASING. THE YOUNGEST SEGMENT IS IMMERSED IN THE NEW DIGITAL REALITY. ALL THESE MUST BE TAKEN INTO ACCOUNT IN THE EDUCATIONAL PROCESS. THE ESSENCE OF MEDIA EDUCATION OF THE YOUNGER GENERATION IS TO PREPARE THEM FOR THE LIFE IN THE INFORMATION SOCIETY. IT REQUIRES THE DEVELOPMENT OF SKILLS TO CREATIVELY USE MEDIA AND INTERPRET THEIR CONTENT, THE ABILITY TO CRITICALLY ANALYZE MEDIA PRODUCTS, UNDERSTAND THE NATURE OF THE MEDIA INDUSTRY, INDEPENDENTLY CREATE THEIR OWN MEDIA CONTENT. THE STUDY PROVES GAMING TECHNIQUES AND THE GROUP WORK AS THE MOST EFFECTIVE. INTERACTIVE METHODS ALLOW TO SIMULATE REAL JOURNALISTIC PRACTICE, TRY ON VARIOUS PROFESSIONAL ROLES. THE PAPER OUTLINES THE STRUCTURE OF THE TRAINING COURSE ""YOUNG JOURNALISM"" AS A CAREER-ORIENTED CYCLE OF MEDIA EDUCATION. IT DESCRIBES ACTIVE AND INTERACTIVE METHODS OF MEDIA EDUCATION APPLIED TO TRAIN HIGH SCHOOL STUDENTS. THE FINAL BLOCK CONTAINS THE RESULTS OF A SURVEY OF THE COURSE PARTICIPANTS.","MEDIA LITERACY; EDUCATIONAL TECHNOLOGIES; CREATIVE PERSONALITY; MEDIA;   TRAINING; CAREER GUIDANCE","ARTICLE","J","RUSSIAN","PAVLUSHKINA, NA (REPRINT AUTHOR), ST PETERSBURG STATE UNIV, VO, 1 LINE,26, ST PETERSBURG 199004, RUSSIA.","1994-4160","1994-4195","MEDIAOBRAZOVANIE","MEDIAOBRAZOVANIE",NA,"4","62","72","11","COMMUNICATION","COMMUNICATION","FU5NF","ISI000423899500006",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDIAOBRAZOVANIE-MEDIA EDUCATION"
"WENINGER C, 2017, ASIA PAC J EDUC, V37, P500, DOI 10.1080/02188791.2017.1336429","10.1080/02188791.2017.1336429","THE ""VERNACULARIZATION"" OF GLOBAL EDUCATION POLICY: MEDIA AND DIGITAL LITERACY AS TWENTY-FIRST CENTURY SKILLS IN SINGAPORE",2017,"37","TECHNOLOGICAL CHANGES HAVE RESHAPED COMMUNICATION, SOCIAL LIFE AS WELL AS THE CONDITIONS OF WORK, CHALLENGING SCHOOLS TO FOSTER SKILLS AND CAPACITIES THAT HELP YOUTH TO COMPETENTLY AND CONFIDENTLY NAVIGATE THESE NEW SOCIO-TECHNOLOGICAL TERRAINS AS WORKERS, CITIZENS AND PRIVATE INDIVIDUALS. RESPONDING TO THESE CHANGES, MEDIA AND DIGITAL LITERACY HAVE BEEN AT THE CENTRE OF A GLOBAL POLICY PUSH TO ARTICULATE A CURRICULAR PLAN FOR TWENTY-FIRST CENTURY SKILLS, RESULTING IN NUMEROUS FRAMEWORKS PRODUCED BY NON-GOVERNMENTAL AND INTER-GOVERNMENTAL ORGANIZATIONS AND ADOPTED BY NATIONAL GOVERNMENTS. AT THE SAME TIME, SCHOLARS HAVE BEEN CRITICAL OF THE OVERWHELMINGLY ECONOMIC RATIONALE BEHIND TWENTY-FIRST CENTURY COMPETENCIES AND OF THE INFLUENCE OF GLOBAL EDU-BUSINESS ON NATIONAL EDUCATION POLICIES, CALLING FOR CRITICAL ANALYSES THAT EXAMINE THE LOCAL UPTAKE OF GLOBALLY MOBILE POLICY INITIATIVES. THIS PAPER INVESTIGATES MEDIA AND DIGITAL LITERACY AT THE NEXUS OF GLOBAL TWENTY-FIRST CENTURY EDUCATION INITIATIVES AND THEIR LOCAL INTERPRETATION WITHIN SINGAPORE'S EDUCATION SYSTEM, WITH SPECIAL ATTENTION TO THE ROLE OF CREATIVE DIGITAL PRODUCTION. DRAWING ON A CRITICAL ANALYSIS OF BOTH INTERNATIONAL AND SINGAPORE POLICY, AS WELL AS EMPIRICAL DATA ON TEACHER AND STUDENT PRACTICE, I HIGHLIGHT THE SELECTIVE PROCESS OF LOCALIZATION AND ITS IMPACT ON TWENTY-FIRST CENTURY COMPETENCIES IN SINGAPORE.","MEDIA LITERACY; DIGITAL LITERACY; 21ST CENTURY SKILLS; EDUCATION POLICY;;   SINGAPORE","ARTICLE","J","ENGLISH","WENINGER, C (REPRINT AUTHOR), NANYANG TECHNOL UNIV, NATL INST EDUC, SINGAPORE, SINGAPORE.","0218-8791","1742-6855","ASIA PAC J EDUC","ASIA PAC. J. EDUC.",NA,"4","500","516","17","EDUCATION & EDUCATIONAL RESEARCH","EDUCATION & EDUCATIONAL RESEARCH","FT6PC","ISI000423275100006","STATE",NA,NA,"SI",NA,NA,NA,"OFFICE OF EDUCATION RESEARCH, NATIONAL INSTITUTE OF EDUCATION [OER 50/12;   CW]",NA,"ASIA PACIFIC JOURNAL OF EDUCATION"
"VAN AUDENHOVE L, 2017, TIJDSCHR COMMUNWET, V45, P244",NA,"MEDIA LITERACY IN FLANDERS. FROM PARLIAMENTARY DEBATE TO THE ESTABLISHMENT OF THE KNOWLEDGE CENTRE FOR MEDIA LITERACY",2017,"45","THE DISCUSSION ON MEDIA LITERACY IN FLANDERS STARTS IN THE FLEMISH PARLIAMENT IN 2006. IT WILL TAKE UNTIL 2013 BEFORE THE FLEMISH GOVERNMENT WILL SET UP THE KNOWLEDGE CENTRE FOR MEDIA LITERACY, MEDIAWIJS. FLANDERS IS THEREFORE RATHER LATE IN ESTABLISHING A DEDICATED INSTITUTE FOR MEDIA LITERACY. THE SAME CAN BE SAID FOR DEVELOPING A FORMAL POLICY FRAMEWORK IN RELATION TO MEDIA LITERACY. THIS ARTICLE STARTS WITH A THEORETICAL DISCUSSION OF FOUR MAJOR TRENDS IN THE MEDIA LITERACY DEBATE. THE ARTICLE MOVES ON TO DESCRIBE AND ANALYSE FLANDERS MEDIA LITERACY POLICY DEBATES AND POLICY FORMULATION. IT HIGHLIGHTS THE DEVELOPMENT AND REMIT OF THE KNOWLEDGE CENTRE FOR MEDIA LITERACY AND DISCUSSES THE INNOVATIVE ROLE OF THE PUBLIC SERVICE BROADCASTER IN RELATION TO MEDIA LITERACY. IT ENDS WITH A REFLECTION OF HOW FLANDERS MEDIA LITERACY POLICY CAN BE SITUATED WITHIN THE THEORETICAL DISCUSSION.","MEDIA LITERACY; MEDIA EDUCATION; POLICY; POLITICAL DEBATE; PUBLIC;   SERVICE BROADCASTER","ARTICLE","J","DUTCH","VAN AUDENHOVE, L (REPRINT AUTHOR), MEDIAWIJS, PL LAAN 2, B-1050 BRUSSELS, BELGIUM.; VAN AUDENHOVE, L (REPRINT AUTHOR), VRIJE UNIV BRUSSEL, IMEC SMIT, PL LAAN 2, B-1050 BRUSSELS, BELGIUM.; VAN AUDENHOVE, L (REPRINT AUTHOR), UNIV CAPE TOWN, RONDEBOSCH, SOUTH AFRICA.","1384-6930",NA,"TIJDSCHR COMMUNWET","TIDSCHR. COMMUNWET.",NA,"4","244","+","24","COMMUNICATION","COMMUNICATION","FR3TV","ISI000418990400002","POLICY; STATE",NA,NA,NA,NA,NA,NA,NA,NA,"TIJDSCHRIFT VOOR COMMUNICATIEWETENSCHAP"
"SYZONOV D, 2017, SCI EDUC-UKRAINE, P82, DOI 10.24195/2414-4665-2017-7-13","10.24195/2414-4665-2017-7-13","PSYCHOLINGUISTIC BASES OF MEDIA LITERACY: CONSIDERING THE ISSUE OF MEDIA TEXTS INTERPRETATION",2017,NA,"THE PAPER DEALS WITH PSYCHOLINGUISTIC PECULIARITIES OF MEDIA COMMUNICATION. MEDIA TEXTS ARE ANALYZED WITH REGARD TO EXTRA-AND INTERTEXTUAL FACTORS SUCH AS MULTICULTURALISM, LINGUISTIC IMPERALISM, MEDIA FORMATS RENNOVATION, ETC. THE EXPERIMENT WAS BASED ON THE HEADLINES OF POSTS TAKEN FROM FACEBOOK AND TWITTER AND WAS AIMED AT DETERMINING THE EMOTIONS WHICH ARISE IN RESPONDENTS READING THEM. 20 UNIVERSITY STUDENTS AGED FROM 17 TILL 20 WERE SURVEYED BY MEANS OF A QUESTIONNAIRE WHICH IS FOCUSED ON THE DETERMINATION OF RESPONDENTS' PSYCHOLOGY OF EMOTIONS. THE QUESTIONNAIRE CONSISTS OF TWO UNITS: WITH YES-NO QUESTIONS AND WITH FREE-ANSWERS QUESTIONS. THE EMOTIONAL SCALE WAS ASSESSED BY THREE VALUES: NEGATIVE, POSITIVE AND NEUTRAL. ACCORDING TO THE RESEARCH OUTCOMES, MOST OF THE RESPONDENTS PAY ATTENTION TO THE HEADLINE BEFORE READING THE TEXT OF THE POST (95%) AND ASSESS ITS CONTENT ACCORDING TO THE HEADLINE (90%) WHICH SHOWS HEADLINES' MANIPULATION EFFECT. 55% OF THE RESPONDENTS MANIFESTED POSITIVE EMOTIONS TOGETHER WITH THEIR POSITIVE ASSESSMENT OF THE MEDIA TEXT. SIMILARLY, THEY MANIFESTED NEGATIVE EMOTIONS TOGETHER WITH THEIR NEGATIVE ASSESSMENT OF THE TEXT WHICH SHOWS THE EXTRA LINGUISTIC EFFECT ON THE CONTENT OF A MEDIA TEXT, PARTICULARLY POLITICAL, MORAL, ETHICAL OR SOCIAL. 25% OF THE RESPONDENTS WERE NEUTRAL TO THE HEADLINES AND DID NOT WANT TO READ THE TEXTS WHICH SHOWS THE HIGH LEVEL OF THEIR IMPASSIVE ATTITUDE TO THE INFORMATION FLOW. IT MEANS THAT PEOPLE'S EMOTIONS ARE AFFECTED BY THE HEADLINES WITH POSITIVE OR NEGATIVE ASSESSMENT. IT HAS BEEN FOUND THAT PSYCHOLINGUISTIC BASES OF MEDIA LITERACY ARE MANIFESTED IN THE UNDERSTANDING OF THE ESSENCE OF A MEDIA TEXT AND ITS MAIN ASSIGNMENT, IN THE ANALYSIS OF CONSCIOUS/SUBCONSCIOUS IMPACT ON A RESPONDENT, IN SEARCH FOR MAIN METHODS AND TACTICS WITH THE HELP OF WHICH A RECIPIENT WOULD NOT BE A PASSIVE MEDIA CONSUMER BUT A PARTICIPANT OF ACTIVE SOCIO-POLITICAL PROCESSES BY MEANS OF MASS MEDIA.","MEDIA PSYCHOLOGY; MEDIA LINGUISTICS; PSYCHOLINGUISTICS; MEDIA LITERACY;;   MASS MEDIA; MEDIA PLANNING; MEDIA MONITORING","ARTICLE","J","RUSSIAN","SYZONOV, D (REPRINT AUTHOR), TARAS SHEVCHENKO NATL UNIV KYIV, PHILOL SCI, 14 SHEVCHENKO BLVD, KIEV, UKRAINE.; SYZONOV, D (REPRINT AUTHOR), TARAS SHEVCHENKO NATL UNIV KYIV, DEPT STYLIST & LANGUAGE COMMUN, 14 SHEVCHENKO BLVD, KIEV, UKRAINE.","2311-8466","2414-4665","SCI EDUC-UKRAINE","SCI. EDUC.",NA,"7","82","88","8","EDUCATION & EDUCATIONAL RESEARCH","EDUCATION & EDUCATIONAL RESEARCH","FR6CW","ISI000419154000013",NA,"GOLD",NA,NA,NA,NA,NA,NA,NA,"SCIENCE AND EDUCATION"
"DANEELS R, 2017, CYBERPSYCHOLOGY, V11, DOI 10.5817/CP2017-3-5","10.5817/CP2017-3-5","MEDIATING SOCIAL MEDIA USE: CONNECTING PARENTS' MEDIATION STRATEGIES AND SOCIAL MEDIA LITERACY",2017,"11","INCREASINGLY COMPLEX AND MULTIPURPOSE SOCIAL MEDIA PLATFORMS REQUIRE DIGITAL COMPETENCES FROM PARENTS AND ADOLESCENTS ALIKE. WHILE ADOLESCENTS GROW UP WITH SOCIAL MEDIA, PARENTS HAVE MORE DIFFICULTIES WITH THEM, LEADING TO UNCERTAINTIES REGARDING THEIR ADOLESCENTS' SOCIAL MEDIA MEDIATION. THIS STUDY CONTRIBUTES TO PARENTAL MEDIATION RESEARCH BY (1) INVESTIGATING WHETHER MEDIATION STRATEGIES DEFINED BY PREVIOUS RESEARCH ARE ALSO RELEVANT FOR SOCIAL MEDIA USE, AND (2) EXPLORING WHETHER PARENTS' SOCIAL MEDIA LITERACY IS CONNECTED TO THE CHOICE FOR A CERTAIN MEDIATION STRATEGY, AS PREVIOUS RESEARCH ALREADY IDENTIFIED OTHER IMPACT FACTORS SUCH AS CHILDREN'S AGE OR FAMILY COMPOSITION. USING A QUALITATIVE RESEARCH DESIGN, WE INTERVIEWED 14 PARENTS AND 13 ADOLESCENTS FROM 10 FAMILIES IN BELGIUM. RESULTS INDICATE THAT, CONSISTENT WITH PREVIOUS RESEARCH, PARENTS IN THIS STUDY MOSTLY USE ACTIVE MEDIATION FOCUSING ON RISKS AND SAFETY ON SOCIAL MEDIA. HOWEVER, SOME PARENTS MONITOR THEIR CHILDREN THROUGH SOCIAL MEDIA ACCOUNTS SPECIFICALLY SET UP FOR MONITORING, OR SPECIALIZED MOBILE APPS. FURTHERMORE, PARENTS WITH HIGH (MOSTLY CRITICAL) SOCIAL MEDIA LITERACY CHOOSE ACTIVE MEDIATION OVER RESTRICTIVE OR TECHNICAL STRATEGIES, RECOGNIZING OPPORTUNITIES OF SOCIAL MEDIA AND LETTING ADOLESCENTS EXPLORE ON THEIR OWN.","PARENTAL MEDIATION; MEDIA LITERACY; SOCIAL MEDIA; PARENTS; ADOLESCENTS","ARTICLE","J","ENGLISH","DANEELS, R (REPRINT AUTHOR), UNIV ANTWERP, FAC SOCIAL SCI, SINT JACOBSTR 2, B-2000 ANTWERP, BELGIUM.","1802-7962",NA,"CYBERPSYCHOLOGY","CYBERPSYCHOLOGY",NA,"3",NA,NA,"13","PSYCHOLOGY, MULTIDISCIPLINARY","PSYCHOLOGY","FQ0CU","ISI000418018800003","CHILDRENS INTERNET USE; DIGITAL-AGE","GOLD",NA,"SI",NA,NA,NA,NA,NA,"CYBERPSYCHOLOGY-JOURNAL OF PSYCHOSOCIAL RESEARCH ON CYBERSPACE"
