id,publisher,publisher_city,publisher_address
 MOSCOW OFFICE, MOSCOW OFFICE,MOSCOW,"15-28 BOLSHOI LEVSHINSKY PER, BLD 2, MOSCOW, 119034, RUSSIA"
UITGEVERIJ BOOM BV,UITGEVERIJ BOOM BV,AMSTERDAM,"PRINSENGRACHT 747-751, AMSTERDAM, 1017 JX, NETHERLANDS"
SOUTH UKRAINIAN NATL UNIV K D USHYNSKY,SOUTH UKRAINIAN NATL UNIV K D USHYNSKY,ODESSA,"VUL STAROPORTOFRANKIVSKA, 26, ODESSA, 65000, UKRAINE"
MASARYKOVA UNIV,MASARYKOVA UNIV,BRNO,"JOSTOVA 10, BRNO, 602 00, CZECH REPUBLIC"
 FAC SOCIAL STUDIES, FAC SOCIAL STUDIES,BRNO,"JOSTOVA 10, BRNO, 602 00, CZECH REPUBLIC"
MAGNANIMITAS,MAGNANIMITAS,HRADEC KRALOVE,"CESKOSLOVENSKE ARMADY 300, HRADEC KRALOVE, 500 03, CZECH REPUBLIC"
UNIV CORDOBA,UNIV CORDOBA,CORDOBA,"AVDA SAN ALBERTO MAGNO S-N, CORDOBA, 14071, SPAIN"
 FAC CIENCIAS EDUCACION, FAC CIENCIAS EDUCACION,CORDOBA,"AVDA SAN ALBERTO MAGNO S-N, CORDOBA, 14071, SPAIN"
KRSCANSKI AKAD KRUG,KRSCANSKI AKAD KRUG,ZAGREB,"JAGODNJAK 17, ZAGREB, 10000, CROATIA"
BRILL ACADEMIC PUBLISHERS,BRILL ACADEMIC PUBLISHERS,LEIDEN,"PLANTIJNSTRAAT 2, P O BOX 9000, 2300 PA LEIDEN, NETHERLANDS"
CANADIAN JOURNAL COMMUNICATION,CANADIAN JOURNAL COMMUNICATION,VANCOUVER,"C/O SIMON FRASER UNIV, 515 WEST HASTINGS ST, VANCOUVER, BC V6B 5K3,;   CANADA"
INDIAN ASSOC CHILD & ADOLESCENT MENTAL HEALTH,INDIAN ASSOC CHILD & ADOLESCENT MENTAL HEALTH,LUCKNOW,"C/O VIVEK AGARWAL, EDITOR, B-1, 10-69, SECTOR K, ALIGANJ, LUCKNOW, 226;   024, INDIA"
AMER FOUNDATION BLIND,AMER FOUNDATION BLIND,NEW YORK,"J VISUAL IMPAIRMENT BLINDNESS 2 PENN PLAZA, SUITE 1102, NEW YORK, NY;   10121 USA"
WILEY-BLACKWELL,WILEY-BLACKWELL,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA"
ELSEVIER SCIENCE INC,ELSEVIER SCIENCE INC,NEW YORK,"360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA"
TECNOSCIENZA,TECNOSCIENZA,PADUA,"C/O STS ITALIA, DIPT SOCIOLOGIA, PADUA, 35123, ITALY"
EDAM,EDAM,ISTANBUL,"KISIKLI MH ALEMDAG CD YAN YOL SK, SBK IS MERKEZI NO 5, KAT 1 USKUDAR,;   ISTANBUL, 81190, TURKEY"
WALTER DE GRUYTER GMBH,WALTER DE GRUYTER GMBH,BERLIN,"GENTHINER STRASSE 13, D-10785 BERLIN, GERMANY"
ACAD ORGANISATION ENVIRONMENTAL ENGINEERING & SUSTAINABLE DEV,ACAD ORGANISATION ENVIRONMENTAL ENGINEERING & SUSTAINABLE DEV,IASI,"MANGERON BLVD NO 71A, PO 10, BOX 2111, IASI, 700050, ROMANIA"
ALCOHOL RES DOCUMENTATION INC CENT ALCOHOL STUD RUTGERS UNIV,ALCOHOL RES DOCUMENTATION INC CENT ALCOHOL STUD RUTGERS UNIV,PISCATAWAY,"C/O DEIRDRE ENGLISH, 607 ALLISON RD, PISCATAWAY, NJ 08854-8001 USA"
GRUPO COMUNICAR,GRUPO COMUNICAR,HUELVA,"APDO CORREOS 527, HUELVA, 21080, SPAIN"
ROUTLEDGE JOURNALS,ROUTLEDGE JOURNALS,ABINGDON,"4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXFORDSHIRE, ENGLAND"
 TAYLOR & FRANCIS LTD, TAYLOR & FRANCIS LTD,ABINGDON,"4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXFORDSHIRE, ENGLAND"
SPRINGER HEIDELBERG,SPRINGER HEIDELBERG,HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY"
SPRINGER/PLENUM PUBLISHERS,SPRINGER/PLENUM PUBLISHERS,NEW YORK,"233 SPRING ST, NEW YORK, NY 10013 USA"
UNIV NAC CENTRO PROVINCIA BUENOS AIRES,UNIV NAC CENTRO PROVINCIA BUENOS AIRES,TANDIL,"CAMPUS UNIV, PARAJE ARROYO SECO S N, TANDIL, 7000, ARGENTINA"
FUNDACION IS&D INVESTIGACION SOCIAL AVANZADA,FUNDACION IS&D INVESTIGACION SOCIAL AVANZADA,LAS MATAS,"CALLE ZALAMEA 1, LAS MATAS, 00000, SPAIN"
ELSEVIER SCI LTD,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND"
ACAD CONFERENCES & PUBL INT LTD,ACAD CONFERENCES & PUBL INT LTD,NR READING,"CURTIS FARM, KIDMORE END, NR READING, RG4 9AY, ENGLAND"
CUKUROVA UNIV,CUKUROVA UNIV,ADANA,"BALCALI CAMPUS, ADANA, 01330, TURKEY"
WYDAWNICTWO UNIWERSYTETU WROCLAWSKIEGO,WYDAWNICTWO UNIWERSYTETU WROCLAWSKIEGO,WROCLAW,"PL. UNIWERSYTECKI 15, WROCLAW, 50-137, POLAND"
ISTANBUL UNIV,ISTANBUL UNIV,ISTANBUL,"ISTANBUL UNIV, RESEARCH INST TURKOLOGY, DEPT ART HISTORY, ISTANBUL,;   00000, TURKEY"
 RESEARCH INST TURKOLOGY, RESEARCH INST TURKOLOGY,ISTANBUL,"ISTANBUL UNIV, RESEARCH INST TURKOLOGY, DEPT ART HISTORY, ISTANBUL,;   00000, TURKEY"
 DEPT ART HISTORY, DEPT ART HISTORY,ISTANBUL,"ISTANBUL UNIV, RESEARCH INST TURKOLOGY, DEPT ART HISTORY, ISTANBUL,;   00000, TURKEY"
NATL UNIV MALAYSIA,NATL UNIV MALAYSIA,SELANGOR,"UKM BANGI, SELANGOR, 43600, MALAYSIA"
 FAC SOCIAL SCIENCES & HUMANITIES, FAC SOCIAL SCIENCES & HUMANITIES,SELANGOR,"UKM BANGI, SELANGOR, 43600, MALAYSIA"
UNIV GRANADA,UNIV GRANADA,GRANADA,"FUENTENUEVA S-N, GRANADA, 18071, SPAIN"
 GRUPO INVESTIGACION FORCE, GRUPO INVESTIGACION FORCE,GRANADA,"FUENTENUEVA S-N, GRANADA, 18071, SPAIN"
LABORATORIO TECNOLOGIAS INFORMACION & NUEVOS ANALISIS COMUNICACION;   SOCIAL,LABORATORIO TECNOLOGIAS INFORMACION & NUEVOS ANALISIS COMUNICACION;   SOCIAL,TENERIFE,"PIRAMIDE CAMPUS GUAJARA, LA LAGUNA, TENERIFE, 38200, SPAIN"
ACAD PUBLISHER HOUSE RESEARCHER,ACAD PUBLISHER HOUSE RESEARCHER,SOCHI,"UL KONSTITUTSLI, DOM 26-2 OFIS 6, SOCHI, 354000, RUSSIA"
PENERBIT UNIV SAINS MALAYSIA,PENERBIT UNIV SAINS MALAYSIA,PULAU PINANG,"PENERBIT UNIVERSITI SAINS MALAYSIA, PULAU PINANG, PINANG 11800, MALAYSIA"
EMERALD GROUP PUBLISHING LTD,EMERALD GROUP PUBLISHING LTD,BINGLEY,"HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND"
USC ANNENBERG PRESS,USC ANNENBERG PRESS,LOS ANGELES,"UNIV SOUTHERN CALIFORNIA, KERCKHOFF HALL, 734 W ADAMS BLVD, MC7725, LOS;   ANGELES, CA 90089 USA"
ANI YAYINCILIK,ANI YAYINCILIK,BAKANLIKLAR,"KIZILIRMAK SOK NO 10-A, BAKANLIKLAR, ANKARA 00000, TURKEY"
KARGER,KARGER,BASEL,"ALLSCHWILERSTRASSE 10, CH-4009 BASEL, SWITZERLAND"
SOC ANTHROPOLOGIE CONNAISSANCES,SOC ANTHROPOLOGIE CONNAISSANCES,"MARNE LA VALLEE, CEDEX 02","C/O MARC BARBIER, UNIV PARIS MARNE VALEE, CITE DESCARTES CHAMPS MARNE,;   MARNE LA VALLEE, CEDEX 02, 77 454, FRANCE"
UNIV CALGARY PRESS,UNIV CALGARY PRESS,CALGARY,"2500 UNIVERSITY DR NW, CALGARY, ALBERTA T2N 1N4, CANADA"
UNIV EXTREMADURA,UNIV EXTREMADURA,BADAJOZ,"AV ELVAS S-N, BADAJOZ, 06071, SPAIN"
 FAC EDUCACION, FAC EDUCACION,BADAJOZ,"AV ELVAS S-N, BADAJOZ, 06071, SPAIN"
EDICIONES UNIV SALAMANCA,EDICIONES UNIV SALAMANCA,SALAMANCA,"APARTADO DE CORREOS 325, SALAMANCA, 00000, SPAIN"
GRAZ UNIV TECHNOLGOY,GRAZ UNIV TECHNOLGOY,GRAZ,"INFFELDGASSE 16C, GRAZ, A-8010, AUSTRIA"
 INST INFORMATION SYSTEMS COMPUTER MEDIA-IICM, INST INFORMATION SYSTEMS COMPUTER MEDIA-IICM,GRAZ,"INFFELDGASSE 16C, GRAZ, A-8010, AUSTRIA"
TAYLOR & FRANCIS LTD,TAYLOR & FRANCIS LTD,ABINGDON,"4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND"
LIPPINCOTT WILLIAMS & WILKINS,LIPPINCOTT WILLIAMS & WILKINS,PHILADELPHIA,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, PA 19103 USA"
UNIV PUTRA MALAYSIA PRESS,UNIV PUTRA MALAYSIA PRESS,SELANGOR,"SERDANG, SELANGOR, 00000, MALAYSIA"
INDIANA UNIV PRESS,INDIANA UNIV PRESS,BLOOMINGTON,"601 N MORTON STREET, BLOOMINGTON, IN 47404-3797 USA"
SPRINGER INTERNATIONAL PUBLISHING AG,SPRINGER INTERNATIONAL PUBLISHING AG,CHAM,"GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND"
OXFORD UNIV PRESS INC,OXFORD UNIV PRESS INC,CARY,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA"
UNIV FEDERAL MINAS GERAIS,UNIV FEDERAL MINAS GERAIS,BELO HORIZONTE,"CENTRO, CAIXA POSTAL 1606, BELO HORIZONTE, MG 30161-970, BRAZIL"
 ESCOLA BIBLIOTECONOMIA, ESCOLA BIBLIOTECONOMIA,BELO HORIZONTE,"CENTRO, CAIXA POSTAL 1606, BELO HORIZONTE, MG 30161-970, BRAZIL"
DIPUTACION PROVINCIAL PONTEVEDRA,DIPUTACION PROVINCIAL PONTEVEDRA,PONTEVEDRA,"AVE MONTE RIOS, S-N, PONTEVEDRA, 36071, SPAIN"
UNIV GEORGIA,UNIV GEORGIA,ATHENS,"427 TUCKER HALL, ATHENS, GA 30602 USA"
 COLL EDUCATION, COLL EDUCATION,ATHENS,"427 TUCKER HALL, ATHENS, GA 30602 USA"
UNIV ILLINOIS PRESS,UNIV ILLINOIS PRESS,CHAMPAIGN,"1325 S OAK ST, CHAMPAIGN, IL 61820-6903 USA"
UNIV SABANA,UNIV SABANA,CUNDINAMARCA,"CAMPUS PUENTE COMUN, KM 7, AUTOPISTA NORTE BOGOTA CHIA, CUNDINAMARCA,;   00000, COLOMBIA"
 FAC COMUNICACION, FAC COMUNICACION,CUNDINAMARCA,"CAMPUS PUENTE COMUN, KM 7, AUTOPISTA NORTE BOGOTA CHIA, CUNDINAMARCA,;   00000, COLOMBIA"
UNIV ESTADUAL PAULISTA JULIO MESQUITA FILHO,UNIV ESTADUAL PAULISTA JULIO MESQUITA FILHO,BAURU,"CAMPUS DE BAURU, BAURU, 00000, BRAZIL"
  FAC ARQUITETURA ARTES &;   COMUN,  FAC ARQUITETURA ARTES &;   COMUN,BAURU,"CAMPUS DE BAURU, BAURU, 00000, BRAZIL"
UNIV BRITISH COLUMBIA,UNIV BRITISH COLUMBIA,VANCOUVER,"2125 MAIN MALL, VANCOUVER, BC V6T 1Z4, CANADA"
 FAC EDUCATION, FAC EDUCATION,VANCOUVER,"2125 MAIN MALL, VANCOUVER, BC V6T 1Z4, CANADA"
ASOC IBEROAMERICANA EDUCACION SUPERIOR DISTANCIA,ASOC IBEROAMERICANA EDUCACION SUPERIOR DISTANCIA,MADRID,"UNED, FAC EDUC, C/ JUAN DEL ROSAI, 14, MADRID, 28040, SPAIN"
UNIV PERUANA CIENCIAS APLICADAS,UNIV PERUANA CIENCIAS APLICADAS,LIMA,"PROLONGACION PRIMAVERA 2390, MONTERRICO, LIMA, 00000, PERU"
CORWIN PRESS INC A SAGE PUBLICATIONS CO,CORWIN PRESS INC A SAGE PUBLICATIONS CO,THOUSAND OAKS,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA"
DINBILIMLERI AKAD ARASTIRMA MERKEZI,DINBILIMLERI AKAD ARASTIRMA MERKEZI,SAMSUN,"ONDOKUZ MAYIS UNIV, ILAHIYAT FAK, SAMSUN, 00000, TURKEY"
JOHN BENJAMINS PUBLISHING CO,JOHN BENJAMINS PUBLISHING CO,AMSTERDAM,"PO BOX 36224, 1020 ME AMSTERDAM, NETHERLANDS"
TRIPLEC,TRIPLEC,NORTHWICK PARK,"WATFORD RD, NORTHWICK PARK, HA1 3TP, ENGLAND"
UNIV REY JUAN CARLOS,UNIV REY JUAN CARLOS,MADRID,"CAMINO DEL MOLINO S-N, FUENLABRADA, MADRID, 28943, SPAIN"
 FAC CIENCIAS COMUNICACION, FAC CIENCIAS COMUNICACION,MADRID,"CAMINO DEL MOLINO S-N, FUENLABRADA, MADRID, 28943, SPAIN"
UNIV ALICANTE,UNIV ALICANTE,ALICANTE,"CARRETERA SAN VICENTE RASPEIG, SAN VICENTE DEL RASPEIG, ALICANTE, 03690,;   SPAIN"
 GRUPO INVESTIGACION EDUTIC-ADEI, GRUPO INVESTIGACION EDUTIC-ADEI,ALICANTE,"CARRETERA SAN VICENTE RASPEIG, SAN VICENTE DEL RASPEIG, ALICANTE, 03690,;   SPAIN"
JMIR PUBLICATIONS,JMIR PUBLICATIONS,TORONTO,"59 WINNERS CIRCLE, TORONTO, ON M4L 3Y7, CANADA"
 INC, INC,TORONTO,"59 WINNERS CIRCLE, TORONTO, ON M4L 3Y7, CANADA"
UNIV FEDERAL CAMPINA GRANDE,UNIV FEDERAL CAMPINA GRANDE,CAMPINA GRANDE PB,"RUA APRIGIO VELOSO 882, BODO CONGO, CAMPINA GRANDE PB, 58109 090, BRAZIL"
LIPPINCOTT WILLIAMS & WILKINS,LIPPINCOTT WILLIAMS & WILKINS,PHILADELPHIA,"530 WALNUT ST, PHILADELPHIA, PA 19106-3621 USA"
COGITATIO PRESS,COGITATIO PRESS,LISBON,"RUA FIALHO ALMEIDA 14, 2 ESQ, LISBON, 1070-129, PORTUGAL"
INST EUROPEO COMUNICACION & DESARROLLO,INST EUROPEO COMUNICACION & DESARROLLO,SEVILLA,"INST EUROPEO COMUNICACION & DESARROLLO, SEVILLA, 00000, SPAIN"
DE GRUYTER MOUTON,DE GRUYTER MOUTON,BERLIN,"GENTHINER STRASSE 13, 10785 BERLIN, GERMANY"
MARY ANN LIEBERT,MARY ANN LIEBERT,NEW ROCHELLE,"140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, NY 10801 USA"
 INC, INC,NEW ROCHELLE,"140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, NY 10801 USA"
BMJ PUBLISHING GROUP,BMJ PUBLISHING GROUP,LONDON,"BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON WC1H 9JR, ENGLAND"
INFORMA HEALTHCARE,INFORMA HEALTHCARE,NEW YORK,"52 VANDERBILT AVE, NEW YORK, NY 10017 USA"
EPI,EPI,BARCELONA,"APARTADO 32 280, BARCELONA, 08080, SPAIN"
UNIV COMPLUTENSE MADRID,UNIV COMPLUTENSE MADRID,MADRID,"CIUDAD UNIV, OBISPO TREJO 3, MADRID, 28040, SPAIN"
 SERVICIO PUBLICACIONES, SERVICIO PUBLICACIONES,MADRID,"CIUDAD UNIV, OBISPO TREJO 3, MADRID, 28040, SPAIN"
NOVOE LITERATURNOE OBOZRENIE-NEW LITERARY OBSERVER,NOVOE LITERATURNOE OBOZRENIE-NEW LITERARY OBSERVER,MOSCOW,"13-1 TVERSKOY BOULEVARD, MOSCOW, 123104, RUSSIA"
R E S N A PRESS,R E S N A PRESS,ARLINGTON,"1700 MOORE ST, STE 1540, ARLINGTON, VA 22209-1903 USA"
LOGOS,LOGOS,VILNIUS,"LAISVES PR 60, VILNIUS, LT-05120, LITHUANIA"
KAMLA-RAJ ENTERPRISES,KAMLA-RAJ ENTERPRISES,DELHI,"2273, GALI BARI PAHARWALI, CHAWRI BAZAR, DELHI, 00000, INDIA"
IEEE COMPUTER SOC,IEEE COMPUTER SOC,PALMERSTON NORTH,"BAG 11-222, MASSEY UNIVERSITY, PALMERSTON NORTH, NEW ZEALAND"
 LEARNING  TECHNOLOGY TASK FORCE, LEARNING  TECHNOLOGY TASK FORCE,PALMERSTON NORTH,"BAG 11-222, MASSEY UNIVERSITY, PALMERSTON NORTH, NEW ZEALAND"
GALLAUDET UNIV PRESS,GALLAUDET UNIV PRESS,WASHINGTON,"800 FLORIDA AVE NE, WASHINGTON, DC 20002 USA"
PURDUE UNIV PRESS,PURDUE UNIV PRESS,W LAFAYETTE,"1207 SOUTH CAMPUS COURTS-E, W LAFAYETTE, IN 47907-1207 USA"
AMER JOURNAL HEALTH PROMOTION INC,AMER JOURNAL HEALTH PROMOTION INC,TROY,"PO BOX 1254, TROY, MI 48099-1254 USA"
EUROPEAN INST COMMUNICATION CULTURE,EUROPEAN INST COMMUNICATION CULTURE,LJUBLJANA,"PO BOX 2511, LJUBLJANA 1001, SLOVENIA"
TAYLOR & FRANCIS INC,TAYLOR & FRANCIS INC,PHILADELPHIA,"325 CHESTNUT ST, SUITE 800, PHILADELPHIA, PA 19106 USA"
AMER LIBRARY ASSOC,AMER LIBRARY ASSOC,CHICAGO,"50 E HURON ST, CHICAGO, IL 60611 USA"
UNIV TORONTO PRESS INC,UNIV TORONTO PRESS INC,TORONTO,"JOURNALS DIVISION, 5201 DUFFERIN ST, DOWNSVIEW, TORONTO, ON M3H 5T8,;   CANADA"
VANDENHOECK & RUPRECHT,VANDENHOECK & RUPRECHT,GOTTINGEN,"THEATERSTRASSE 13,, D-37073 GOTTINGEN, GERMANY"
CAMBRIDGE UNIV PRESS,CAMBRIDGE UNIV PRESS,CAMBRIDGE,"EDINBURGH BLDG, SHAFTESBURY RD, CB2 8RU CAMBRIDGE, ENGLAND"
AMER METEOROLOGICAL SOC,AMER METEOROLOGICAL SOC,BOSTON,"45 BEACON ST, BOSTON, MA 02108-3693 USA"
PHI DELTA KAPPA,PHI DELTA KAPPA,BLOOMINGTON,"8TH AND UNION P O BOX 789, BLOOMINGTON, IN 47402 USA"
NATL ASSOC BIOLOGY TEACHERS INC,NATL ASSOC BIOLOGY TEACHERS INC,RESTON,"12030 SUNRISE VALLEY DR, #110, RESTON, VA 20191 USA"
SILA SCIENCE,SILA SCIENCE,TRABZON,"UNIV MAH,MEKAN SOK NO 24, TRABZON, 00000, TURKEY"
UNIV QUEENSLAND PRESS,UNIV QUEENSLAND PRESS,ST LUCIA,"PO BOX 42, ST LUCIA, QUEENSLAND 4067, AUSTRALIA"
HOGREFE & HUBER PUBLISHERS,HOGREFE & HUBER PUBLISHERS,GOTTINGEN,"ROHNSWEG 25, D-37085 GOTTINGEN, GERMANY"
JUVENTA VERLAG GMBH,JUVENTA VERLAG GMBH,WEINHEIM,"EHRETSTR 3, WEINHEIM, 69469, GERMANY"
DE LA SALLE UNIV-MANILA,DE LA SALLE UNIV-MANILA,MANILA,"2401 TAFT AVE, MANILA, 1004, PHILIPPINES"
WILEY-BLACKWELL,WILEY-BLACKWELL,MALDEN,"COMMERCE PLACE, 350 MAIN ST, MALDEN 02148, MA USA"
JOHNS HOPKINS UNIV PRESS,JOHNS HOPKINS UNIV PRESS,BALTIMORE,"JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, MD;   21218-4363 USA"
UNIV WAIKATO,UNIV WAIKATO,HAMILTON,"SCH EDUCATION, PRIVATE BAG 3105, HAMILTON, 00000, NEW ZEALAND"
AUSTRALIAN LIBRARY & INFORMATION ASSOC LTD,AUSTRALIAN LIBRARY & INFORMATION ASSOC LTD,KINGSTON,"PO BOX 6335, KINGSTON, ACT 2604, AUSTRALIA"
INT READING ASSOC,INT READING ASSOC,NEWARK,"800 BARKSDALE RD P O BOX 8139, NEWARK, DE 19714 USA"
TURKISH ONLINE JOURNAL EDUCATIONAL TECH-TOJET,TURKISH ONLINE JOURNAL EDUCATIONAL TECH-TOJET,SAKARYA,"SAKARYA UNIV, ESENTEPE KAMPUSU, SAKARYA, 54187, TURKEY"
ELSEVIER ACADEMIC PRESS INC,ELSEVIER ACADEMIC PRESS INC,SAN DIEGO,"525 B STREET, SUITE 1900, SAN DIEGO, CA 92101-4495 USA"
UNIV NACIONAL EDUCACION DISTANCIA,UNIV NACIONAL EDUCACION DISTANCIA,MADRID,"PO SENDA REY,BRAVO MURILLO 38, MADRID, 7-28040, SPAIN"
WILEY-BLACKWELL PUBLISHING,WILEY-BLACKWELL PUBLISHING,MALDEN,"COMMERCE PLACE, 350 MAIN ST, MALDEN 02148, MA USA"
 INC, INC,MALDEN,"COMMERCE PLACE, 350 MAIN ST, MALDEN 02148, MA USA"
NORTHWESTERN UNIV PRESS,NORTHWESTERN UNIV PRESS,EVANSTON,"629  NOYES STREET, EVANSTON, IL 60208 USA"
ASSOC EDUC JOURNALISM MASS COMMUNICATION,ASSOC EDUC JOURNALISM MASS COMMUNICATION,COLUMBIA,"UNIV SOUTH CAROLINA COLLEGE OF JOURNALISM, COLUMBIA, SC 29208 USA"
AMER ACAD PEDIATRICS,AMER ACAD PEDIATRICS,ELK GROVE VILLAGE,"141 NORTH-WEST POINT BLVD,, ELK GROVE VILLAGE, IL 60007-1098 USA"
