id_paper0,id_paper1
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","LI L, 2014, PLOS ONE, V9, DOI 10.1371/JOURNAL.PONE.0084997"
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","LINK BG, 2004, SCHIZOPHRENIA BULL, V30, P511, DOI 10.1093/OXFORDJOURNALS.SCHBUL.A007098"
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","MURANO G, 2014, 8 SHOCKING SUICIDE A"
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","OWENS D, 2002, BRIT J PSYCHIAT, V181, P193, DOI 10.1192/BJP.181.3.193"
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","PUHL R, 2013, INT J OBESITY, V37, P612, DOI 10.1038/IJO.2012.110"
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","SMITH KP, 2008, ANNU REV SOCIOL, V34, P405, DOI 10.1146/ANNUREV.SOC.34.040507.134601"
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","WORLD HEALTH ORGANIZATION (WHO), 2014, PREV SUIC GLOB IMP"
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","WONG DFK, 2011, AUST NZ J PSYCHIAT, V45, P524, DOI 10.3109/00048674.2011.585604"
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","ZHAO N, 2016, PLOS ONE, V11, DOI 10.1371/JOURNAL.PONE.0157947"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","ASTHANA S., 2008, INTERCUTURELLER DIAL, V63, P40"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","BANDA F., 2013, MODEL CURRICULA JOUR"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","BHARDWAJ D., 2017, HINDUSTAN TIMES"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","CHAUDHURI M., 2014, STUDYING YOUTH MEDIA"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","CHAUDHURI M, 2010, CONTRIB INDIAN SOC, V44, P57, DOI 10.1177/006996671004400204"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","DAS B., 2011, GLOBAL MEDIA POLICY, P245"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","DAS B., 2009, REV COMUNICAR, V16, P65"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","FRAU-MEIGS D., 2008, P WORKSH HUM RIGHTS"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","GREEN D., 2008, POVERTY POWER ACTIVE"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","GROUND REALITIES, 2011, COMM RAD IND"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","JACQUINOT-DELAUNAY G., 2008, EMPOWERMENT MEDIA ED"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","JEFFREY ROBIN, 2013, CELLPHONE NATION MOB"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","KUMAR K. J., 2007, MEDIA ED COMMUNICATI"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","KUMAR K. J., 1987, INT COMMUNICATION GA, V40, P183"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","MANSELL R., 2010, COMMUNICATION YB, P259"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","MINISTRY OF HUMAN RESOURCE DEVELOPMENT GOVERNMENT OF INDIA, 2016, SOM INP DRAFT NAT ED"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","MOUFFE C., 2000, DELIBERATIVE DEMOCRA"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","NAGARAJ K. V., 2014, CITIZENSHIP DIGITAL, P297"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","NINAN S., 2007, HEADLINES HEARTLAND"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","NINAN S., 2014, MEDIA OWNERSHIP BLUE"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","PAPA M. J., 2009, JOURNAL OF CREATIVE COMMUNICATIONS, V4, P185, DOI 10.1177/097325861000400304"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","RAM N., 2011, PRES ADDR CONT IND S"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","RANGANATHAN MAYA, 2015, INDIAN NEWS MEDIA OD"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","RAO S, 2008, ASIAN J COMMUN, V18, P193, DOI 10.1080/01292980802207041"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","RAO S, 2015, JOURNALISM STUD, V16, P615, DOI 10.1080/1461670X.2015.1054135"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","RAO URSULA, 2010, NEWS AS CULTURE"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","RELLY JE, 2013, ASIAN J COMMUN, V23, P284, DOI 10.1080/01292986.2012.729149"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","REPORTERS WITHOUT BORDERS, 2015, ROUND JOURN KILL WOR"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","RODRIGUES U., 2014, P 2014 ANZCA C DIG S, P1"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","SCHNEIDER N.-C., 2014, STUDYING YOUTH MEDIA"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","SEN A., 2005, ARGUMENTATIVE INDIA"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","SONWALKAR P, 2002, MEDIA CULT SOC, V24, P821, DOI 10.1177/016344370202400605"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","SONWALKAR P, 2009, JOURNALISM, V10, P378"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","THOMAS PRADIP, 2011, NEGOTIATING COMMUNIC"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","THUSSU D. K., 2005, JOURNALISM DEMOCRACY, P55"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","TORNERO J. M. P., 2010, MEDIA LITERACY NEW H"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","YADAV A., 2015, MEDIA INFORM LITERAC, P67"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","GENTZKOW M., 2017, SOCIAL MEDIA FAKE NE"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","ANTONOPOULOS N, 2015, COMPUT HUM BEHAV, V44, P48, DOI 10.1016/J.CHB.2014.11.022"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","AUSTIN EW, 1995, J BROADCAST ELECTRON, V39, P215, DOI 10.1080/08838159509364300"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","BALCH G. I., 1974, POLITICAL METHODOLOG, V1, P1, DOI DOI 10.2307/25791375"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","BANNING SA, 2006, JOURNALISM MASS COMM, V83, P785, DOI 10.1177/107769900608300404"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","BARNIDGE M, 2014, INT J PUBLIC OPIN R, V26, P135, DOI 10.1093/IJPOR/EDT032"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","CHANLEY VA, 2000, PUBLIC OPIN QUART, V64, P239, DOI 10.1086/317987"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","CHUNG MJ, 2015, COMPUT HUM BEHAV, V53, P452, DOI 10.1016/J.CHB.2015.06.037"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","MOON S. I., 2016, HUMAN COMMUNICATION"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","COHEN J, 1991, JOURNALISM QUART, V68, P680, DOI 10.1177/107769909106800409"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","COHEN J, 1988, PUBLIC OPIN QUART, V52, P161, DOI 10.1086/269092"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","DARDIS FE, 2008, MASS COMMUN SOC, V11, P24, DOI 10.1080/15205430701582512"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","DAVID P, 2002, COMMUN RES, V29, P270, DOI 10.1177/0093650202029003003"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","DAVISON WP, 1983, PUBLIC OPIN QUART, V47, P1, DOI 10.1086/268763"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","DE ZUNIGA HG, 2011, COMMUN RES, V38, P397, DOI 10.1177/0093650210384984"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","DELORME DE, 2006, J ADVERTISING, V35, P47, DOI 10.2753/JOA0091-3367350304"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","DUCK JM, 1998, EUR J SOC PSYCHOL, V28, P1"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","EVELAND WP, 1999, INT J PUBLIC OPIN R, V11, P315, DOI 10.1093/IJPOR/11.4.315"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","GARDIKIOTIS A, 2008, MEDIA PSYCHOL, V11, P331, DOI 10.1080/15213260801994212"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","GOLAN GJ, 2008, AM BEHAV SCI, V52, P278, DOI 10.1177/0002764208321356"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","SHEARER E., 2016, NEWS USE SOCIAL MEDI, P26"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","GUNTHER AC, 1993, JOURNALISM QUART, V70, P58, DOI 10.1177/107769909307000107"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","GUNTHER AC, 1995, J COMMUN, V45, P27, DOI 10.1111/J.1460-2466.1995.TB00712.X"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","HARA N, 2016, INFORM COMMUN SOC, V19, P1587, DOI 10.1080/1369118X.2016.1142595"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","HO SS, 2011, MASS COMMUN SOC, V14, P343, DOI 10.1080/15205436.2010.491933"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","HOFFNER C, 1999, COMMUN RES, V26, P726, DOI 10.1177/009365099026006004"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","HOFFNER C, 2001, J COMMUN, V51, P283, DOI 10.1093/JOC/51.2.283"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","HUH J, 2004, COMMUN RES, V31, P568, DOI 10.1177/0093650204267934"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","IYENGAR S, 2015, AM J POLIT SCI, V59, P690, DOI 10.1111/AJPS.12152"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","JANG SM, 2016, NEW MEDIA SOC, V18, P2271, DOI 10.1177/1461444815583491"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","JANG S. M., 2017, HLTH COMMUNICATION P"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","KENSKI K, 2006, J BROADCAST ELECTRON, V50, P173, DOI 10.1207/S15506878JOBEM5002_1"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","KING AV, 2010, VANDERBILT LAW REV, V63, P845"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","LAZER DAVID, 2017, COMBATING FAKE NEWS"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","LEE BK, 2005, J COMMUN, V55, P292, DOI 10.1093/JOC/55.2.292"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","LIM J. S, 2017, JOURNALISM MASS COMM"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","LIN SJ, 2014, CHIN J COMMUN, V7, P135, DOI 10.1080/17544750.2014.905867"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","LIM S, 2002, ASIAN J COMMUN, V12, P25"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","LO VH, 2002, J BROADCAST ELECTRON, V46, P13, DOI 10.1207/S15506878JOBEM4601_2"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","MCLEOD DM, 1997, COMMUN RES, V24, P153, DOI 10.1177/009365097024002003"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","MEIRICK PC, 2005, COMMUN RES, V32, P822, DOI 10.1177/0093650205281059"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","MERRILL J. C, 1974, IMPERATIVE FREEDOM P"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","NIEMI RG, 1991, AM POLIT SCI REV, V85, P1407, DOI 10.2307/1963953"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","PAEK HJ, 2005, COMMUN RES, V32, P143, DOI 10.1177/0093650204273760"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","PARK Y. J., 2017, NEW MEDIA SOC"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","PARK Y. J., 2015, COMMUNICATION RES"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","PARK YJ, 2017, COMPUT HUM BEHAV, V76, P227, DOI 10.1016/J.CHB.2017.07.025"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","PEISER W, 2000, J COMMUN, V50, P25, DOI 10.1093/JOC/50.1.25"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","PERLOFF RM, 1993, INT J PUBLIC OPIN R, V5, P167, DOI 10.1093/IJPOR/5.2.167"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","PERLOFF R. M., 1996, PSYCHOL POLITICAL CO, P177"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","PEW RESEARCH CENTER FOR THE PEOPLE & THE PRESS, 2016, MAN AM BEL FAK NEWS"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","PRICE V, 1997, JOURNALISM MASS COMM, V74, P525, DOI 10.1177/107769909707400307"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","SALWEN MB, 1997, J COMMUN, V47, P60, DOI 10.1111/J.1460-2466.1997.TB02706.X"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","SCHEUFELE DA, 2002, HARV INT J PRESS-POL, V7, P55, DOI 10.1177/1081180X0200700304"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","SCHWEISBERGER V, 2014, J COMPUT-MEDIAT COMM, V19, P403, DOI 10.1111/JCC4.12061"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","SOLON OLIVIA, 2016, GUARDIAN"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","SPENCE PR, 2016, COMMUN Q, V64, P55, DOI 10.1080/01463373.2015.1100644"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","SUN Y, 2008, J COMMUN, V58, P280, DOI 10.1111/J.1460-2466.2008.00385.X"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","TAMBUSCIO M, 2015, WWW'15 COMPANION: PROCEEDINGS OF THE 24TH INTERNATIONAL CONFERENCE ON WORLD WIDE WEB, P977, DOI 10.1145/2740908.2742572"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","WEI R, 2011, INT J PUBLIC OPIN R, V23, P169, DOI 10.1093/IJPOR/EDQ044"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","WU W, 2001, J MASS COMMUN Q, V78, P260, DOI 10.1177/107769900107800204"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","XU J, 2008, INT J PUBLIC OPIN R, V20, P375, DOI 10.1093/IJPOR/EDN031"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","ZARU D., 2017, CNN"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","ZIPURSKY B. C., 2010, DEPAUL LAW REV, V60, P473"
"CAN B, 2018, PAMUKKALE U EGIT FAK, P31, DOI 10.9779/PUJE847","ABAZAOGLU I., 2014, THESIS GAZI U ANKARA"
"CAN B, 2018, PAMUKKALE U EGIT FAK, P31, DOI 10.9779/PUJE847","AKTI S., 2011, THESIS FIRAT U FIRAT"
"CAN B, 2018, PAMUKKALE U EGIT FAK, P31, DOI 10.9779/PUJE847","ARSLAN A., 1995, THESIS HACETTEPE U A"
"CAN B, 2018, PAMUKKALE U EGIT FAK, P31, DOI 10.9779/PUJE847","AYDEMIR S., 2013, THESIS ESKISEHIR OSM"
"CAN B, 2018, PAMUKKALE U EGIT FAK, P31, DOI 10.9779/PUJE847","BOZTUNC N., 2010, THESIS HACETTEPE U A"
"CAN B, 2018, PAMUKKALE U EGIT FAK, P31, DOI 10.9779/PUJE847","CAVUS R., 2013, THESIS SAKARYA U SAK"
"CAN B, 2018, PAMUKKALE U EGIT FAK, P31, DOI 10.9779/PUJE847","EARGED, 2010, PISA 2009 UL RAP"
"CAN B, 2018, PAMUKKALE U EGIT FAK, P31, DOI 10.9779/PUJE847","HAZIR BIKMAZ F., 2001, THESIS ANKARA U ANKA"
"CAN B, 2018, PAMUKKALE U EGIT FAK, P31, DOI 10.9779/PUJE847","KARABAY E., 2012, THESIS ANKARA U ANKA"
"CAN B, 2018, PAMUKKALE U EGIT FAK, P31, DOI 10.9779/PUJE847","KARAMAN K., 2009, ILKOGRETIM ONLINE, V8, P798"
"CAN B, 2018, PAMUKKALE U EGIT FAK, P31, DOI 10.9779/PUJE847","KARAR E. E., 2011, THESIS ADNAN MENDERE"
"CAN B, 2018, PAMUKKALE U EGIT FAK, P31, DOI 10.9779/PUJE847","KARASAR N., 2005, BILIMSEL ARASTIRMA Y"
"CAN B, 2018, PAMUKKALE U EGIT FAK, P31, DOI 10.9779/PUJE847","KESKIN H., 2008, THESIS OSMANGAZI U E"
"CAN B, 2018, PAMUKKALE U EGIT FAK, P31, DOI 10.9779/PUJE847","KURT M., 2010, THESIS HACETTEPE U A"
"CAN B, 2018, PAMUKKALE U EGIT FAK, P31, DOI 10.9779/PUJE847","NATIONAL RESEARCH COUNCIL (NRC), 1996, NAT SCI ED STAND"
"CAN B, 2018, PAMUKKALE U EGIT FAK, P31, DOI 10.9779/PUJE847","ORGANISATION FOR ECONOMIC COOPERATION AND DEVELOPMENT-OECD, 1999, PERF IND STUD ACH PI"
"CAN B, 2018, PAMUKKALE U EGIT FAK, P31, DOI 10.9779/PUJE847","ONAL I., 2010, BILGI DUNYASI, V1, P101"
"CAN B, 2018, PAMUKKALE U EGIT FAK, P31, DOI 10.9779/PUJE847","OZER Y., 2009, THESIS HACETTEPE U A"
"CAN B, 2018, PAMUKKALE U EGIT FAK, P31, DOI 10.9779/PUJE847","RTUK, 2007, ILK MED OK DERS OGR"
"CAN B, 2018, PAMUKKALE U EGIT FAK, P31, DOI 10.9779/PUJE847","RTUK, 2008, MED OK NED"
